2022-05-06 17:18:29 - PHP Warning:  unlink(C:/wamp64/www/opencart/storage/cache/cache.store.1651844595): No such file or directory in C:\wamp64\www\opencart\system\library\cache\file.php on line 17
2022-05-14 20:22:35 - PHP Notice:  Undefined offset: 6 in C:\wamp64\www\opencart\system\library\paypal\paypal.php on line 347
2022-05-14 20:22:49 - PHP Notice:  Undefined offset: 6 in C:\wamp64\www\opencart\system\library\paypal\paypal.php on line 347
2022-05-21 13:32:18 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2022-05-21 13:32:19 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2022-05-21 13:34:46 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2022-05-22 15:04:50 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2022-05-22 20:02:41 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2022-05-22 20:02:42 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2022-05-22 21:23:03 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2022-05-22 21:24:41 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\wamp64\www\opencart\system\library\mail\mail.php on line 77
2022-05-22 21:44:20 - PHP Warning:  fsockopen(): SSL operation failed with code 1. OpenSSL Error messages:
error:1408F10B:SSL routines:ssl3_get_record:wrong version number in C:\wamp64\www\opencart\system\library\mail\smtp.php on line 88
2022-05-22 21:44:20 - PHP Warning:  fsockopen(): Failed to enable crypto in C:\wamp64\www\opencart\system\library\mail\smtp.php on line 88
